EVA_NR;DS100;IFOPT;NAME;VERKEHR;LAENGE;BREITE;STATUS
8003624;TLGW;de:08125:7404;Leingarten West;RV;9,10565400;49,1459930;
8003627;MLEH;de:09774:2942;Leipheim;RV;10,2153690;48,4501710;
8003628;ALE;de:03354:54758;Leitstade;nur DPN;10,9127830;53,1691430;
8003630;ELBK;de:05562:4092;Lembeck;nur DPN;7,02548000;51,7512440;
8003632;HLMF;de:03251:54785;Lemförde;RV;8,36161000;52,4601630;
8003633;ELGO;de:05766:2500;Lemgo;nur DPN;8,89469600;52,0224000;
8003634;ELGL;de:05766:20016;Lemgo-Lüttfeld;nur DPN;8,91070000;52,0209650;
8003635;HLEM;de:03241:5860;Lemmie;RV;9,60857200;52,2851040;
8003638;ELSN;de:05962:2062;Lendringsen;RV;7,82661700;51,4103980;
8003639;MLWG;de:09777:9011;Lengenwang;RV;10,6012140;47,6973990;
8003640;ELEN;de:05566:14087;Lengerich(Westf);nur DPN;7,87845900;52,1757850;
8003641;FLE;de:06432:11230;Otzberg Lengfeld;nur DPN;8,90273700;49,8394530;
8003643;MLG;de:09173:4530;Lenggries;nur DPN;11,5735390;47,6803950;
8003644;HLGL;de:03152:54995;Lenglern;nur DPN;9,87119500;51,5884280;
8003649;ALS;de:01055:55125;Lensahn;RV;10,8904510;54,2193100;
8003652;TLE;de:08115:7301;Leonberg;RV;9,00385300;48,7996460;
8003655;ELEO;de:05766:3424;Leopoldstal;nur DPN;8,97118200;51,8444970;
8003656;HLED;de:03454:55264;Leschede;nur DPN;7,30596100;52,3976440;
8003657;ELED;de:05962:5999;Letmathe Dechenhöhle;nur DPN;7,64415400;51,3654650;
8003658;ELET;de:05558:19113;Lette(Kr Coesfeld);RV;7,18699800;51,8924950;
8003659;HLT,HLTA;de:03241:4581;Letter;RV;9,63948000;52,3938980;
8003660;KLEU;de:07138:10137;Leubsdorf(Rhein);RV;7,28635000;50,5470390;
8003663;MLSH;de:09777:9012;Leuterschach;RV;10,5812210;47,7456410;
8003665;KLET;de:07138:12964;Leutesdorf(Rhein);RV;7,39206700;50,4476820;
8003668;KLK,KLKH;de:05316:22201;Leverkusen-Küppersteg;RV;6,98811900;51,0458220;
8003669;KLS;de:05316:21201;Leverkusen-Schlebusch;nur DPN;7,01512800;51,0316160;
8003671;KEST;de:05362:86301;Erftstadt;RV;6,83295500;50,8070930;
8003672;KLRH;de:05316:21301;Leverkusen-Rheindorf;RV;6,96346400;51,0642650;
8003673;FLI;de:06531:11139;Lich(Oberhess);nur DPN;8,82195900;50,5145780;
8003674;FLST;de:06531:11178;Gießen Licher Str;nur DPN;8,69724200;50,5816670;
8003676;NLH;de:09276:10969;Lichtenthal;nur DPN;13,2464660;49,0087620;
8003680;FLIS;de:06533:11504;Limburg Süd;FV;8,09611200;50,3824980;
8003681;FLIE;de:06435:11153;Lieblos;nur DPN;9,14402000;50,2071040;
8003684;SLB;de:10045:8003684;Limbach(b Homburg,Saar);RV;7,27912700;49,3121480;
8003687;RLI;de:07338:1917;Limburgerhof;RV;8,39074700;49,4242730;
8003690;RLID;de:08226:574;Lindach;RV;9,00646000;49,4169180;
8003692;MLIA;de:09776:9013;Lindau-Aeschach;RV;9,68466000;47,5596200;
8003696;FLHN;de:06533:11125;Lindenholzhausen;RV;8,13337200;50,3775650;
8003697;KLD;de:05370:3272;Lindern;RV;6,20746700;50,9968420;
8003698;FLIN;de:06440:6502;Altenstadt-Lindheim;RV;8,97877500;50,2913340;
8003699;HLH;de:03257:398;Lindhorst(Schaumb-Lippe);RV;9,28886700;52,3543200;
8003700;HLWL;de:03358:55895;Lindwedel;nur DPN;9,68902200;52,6109430;
8003701;HLIG;de:03454:8910;Lingen(Ems);FV;7,32173100;52,5198670;
8003702;RLF;de:07334:35001;Lingenfeld;RV;8,34952300;49,2525840;
8003705;HLBU;de:03256:56145;Linsburg;RV;9,32563800;52,6009660;
8003708;KLI;de:07138:20037;Linz(Rhein);RV;7,27603200;50,5693350;
8003711;FLIH;de:06632:209637;Lispenhausen;nur DPN;9,76678700;50,9902470;
8003713;KLIS;de:07233:7333;Lissendorf;RV;6,61515800;50,3184890;
8003715;ELIS;de:05966:10582;Listerscheid;nur DPN;7,84949500;51,1081430;
8003716;ELTF;de:05970:10583;Kreuztal-Littfeld;nur DPN;7,98714200;51,0071900;
8003720;MLCH;de:09184:2580;Lochham;RV;11,4308900;48,1282470;
8003721;RLOE;de:08317:14380;Löcherberg;nur DPN;8,17224800;48,4346670;
8003722;HLOD;de:03152:57306;Lödingsen;nur DPN;9,79102700;51,5891960;
8003723;SLF;;Löf;RV;7,44351200;50,2305690;
8003724;RLGN;de:08315:6543;Löffingen;RV;8,34180000;47,8834340;
8003726;FLOE;de:06533:11119;Löhnberg;nur DPN;8,27430700;50,5093470;
8003729;RLR;de:08336:6600;Lörrach Hbf;RV;7,66542000;47,6140530;
8003730;RLST;de:08336:6635;Lörrach-Stetten;RV;7,65903200;47,6014180;
8003731;RLFB;de:06431:891;Lörzenbach-Fahrenbach;RV;8,76444100;49,6386780;
8003732;KLO,KLOV;de:05315:13701;Lövenich;RV;6,83444000;50,9429320;
8003733;TLOE;de:08435:32005;Löwental;RV;9,49924100;47,6613980;
8003734;NLOR;de:09576:8010;Lohgarten-Roth;RV;11,0959500;49,2435670;
